customer_id,signup_date
CUST0185,2022-04-08
CUST0186,2020-07-20
CUST0187,2020-12-25
CUST0188,2020-06-04
CUST0189,2024-01-31
CUST0190,2021-11-11
CUST0191,2021-10-11
CUST0192,2021-10-02
CUST0193,2024-06-19
CUST0194,2023-09-08
CUST0195,2020-12-02
CUST0196,2021-08-25
CUST0197,2023-09-02
CUST0198,2020-08-30
CUST0199,2021-06-21
CUST0200,2022-09-12
CUST0201,2022-10-03
CUST0202,2021-11-18
CUST0203,2023-01-24
CUST0204,2020-12-04
CUST0205,2020-08-11
CUST0206,2024-07-24
CUST0207,2023-12-10
CUST0208,2024-01-09
CUST0209,2022-12-15
CUST0210,2021-09-17
CUST0211,2022-07-24
CUST0212,2023-02-17
CUST0213,2021-04-14
CUST0214,2022-06-09
CUST0215,2020-10-17
CUST0216,2020-03-26
CUST0217,2021-05-18
CUST0218,2022-06-26
CUST0219,2021-09-11
CUST0220,2022-11-20
CUST0221,2022-08-15
CUST0222,2022-03-28
CUST0223,2020-03-28
CUST0224,2021-10-22
CUST0225,2024-10-10
CUST0226,2023-03-16
CUST0227,2023-07-08
CUST0228,2024-09-29
CUST0229,2020-09-09
CUST0230,2020-02-21
CUST0231,2023-02-07
CUST0232,2023-07-13
CUST0233,2024-07-08
CUST0234,2020-10-03
CUST0235,2022-09-20
CUST0236,2024-01-30
CUST0237,2023-12-01
CUST0238,2024-09-27
CUST0239,2023-07-15
CUST0240,2020-10-29
CUST0241,2020-11-12
CUST0242,2023-05-01
CUST0243,2022-03-26
CUST0244,2021-02-15
CUST0245,2022-03-17
CUST0246,2021-01-29
CUST0247,2021-12-31
CUST0248,2020-07-01
CUST0249,2020-12-28
CUST0250,2021-05-04
CUST0251,2021-01-03
CUST0252,2021-07-19
CUST0253,2024-11-13
CUST0254,2021-02-12
CUST0255,2023-11-17
CUST0256,2021-12-03
CUST0257,2021-01-31
CUST0258,2024-01-11
CUST0259,2024-06-16
CUST0260,2024-01-30
CUST0261,2022-10-07
CUST0262,2020-11-06
CUST0263,2020-08-26
CUST0264,2020-06-24
CUST0265,2023-01-02
CUST0266,2021-11-08
CUST0267,2022-06-17
CUST0268,2024-05-14
CUST0269,2020-01-14
CUST0270,2022-04-20
CUST0271,2020-09-19
CUST0272,2022-12-27
CUST0273,2023-06-08
CUST0274,2024-12-22
CUST0275,2021-12-09
CUST0276,2022-11-28
CUST0277,2020-05-17
CUST0278,2020-04-23
CUST0279,2021-02-15
CUST0280,2022-03-24
CUST0281,2021-01-05
CUST0282,2023-12-20
CUST0283,2022-04-05
CUST0284,2022-01-10
CUST0285,2023-08-31
CUST0286,2021-10-18
CUST0287,2022-12-22
CUST0288,2024-01-05
CUST0289,2021-09-20
CUST0290,2021-12-22
CUST0291,2022-04-01
CUST0292,2021-10-25
CUST0293,2020-11-15
CUST0294,2020-07-11
CUST0295,2024-11-13
CUST0296,2022-03-18
CUST0297,2023-04-15
CUST0298,2022-03-31
CUST0299,2023-07-05
CUST0300,2020-03-19
CUST0301,2021-04-20
CUST0302,2021-03-19
CUST0303,2024-01-12
CUST0304,2024-06-19
CUST0305,2020-08-08
CUST0306,2021-08-19
CUST0307,2020-06-04
CUST0308,2021-08-28
CUST0309,2023-04-21
CUST0310,2020-02-05
CUST0311,2022-03-07
CUST0312,2020-09-17
CUST0313,2024-07-19
CUST0314,2022-06-24
CUST0315,2024-05-16
CUST0316,2021-12-30
CUST0317,2023-01-17
CUST0318,2020-01-11
CUST0319,2020-02-12
CUST0320,2021-04-30
CUST0321,2021-07-17
CUST0322,2022-12-05
CUST0323,2022-04-03
CUST0324,2023-05-19
CUST0325,2022-12-07
CUST0326,2022-07-05
CUST0327,2020-09-06
CUST0328,2020-06-10
CUST0329,2020-06-18
CUST0330,2021-01-07
CUST0331,2020-01-02
CUST0332,2022-12-12
CUST0333,2023-12-22
CUST0334,2023-07-31
CUST0335,2021-11-22
CUST0336,2023-04-11
CUST0337,2021-04-25
CUST0338,2022-11-22
CUST0339,2023-09-10
CUST0340,2020-03-12
CUST0341,2022-04-16
CUST0342,2021-06-07
CUST0343,2021-02-10
CUST0344,2022-04-01
CUST0345,2022-12-16
CUST0346,2024-12-29
CUST0347,2021-09-05
CUST0348,2024-11-03
CUST0349,2020-08-02
CUST0350,2022-05-26
CUST0351,2020-04-04
CUST0352,2023-01-23
CUST0353,2021-12-27
CUST0354,2023-02-19
CUST0355,2023-01-22
CUST0356,2020-03-05
CUST0357,2023-01-24
CUST0358,2023-12-09
CUST0359,2022-08-08
CUST0360,2021-04-25
CUST0361,2020-02-11
CUST0362,2020-06-15
CUST0363,2021-06-26
CUST0364,2021-11-13
CUST0365,2021-04-05
CUST0366,2024-01-09
CUST0367,2023-12-25
CUST0368,2021-12-28
CUST0369,2021-12-06
CUST0370,2024-09-13
CUST0371,2021-10-05
CUST0372,2024-02-05
CUST0373,2020-10-07
CUST0374,2023-08-14
CUST0375,2023-11-03
CUST0376,2023-07-14
CUST0377,2024-05-01
CUST0378,2023-01-01
CUST0379,2022-04-08
CUST0380,2021-08-17
CUST0381,2022-02-14
CUST0382,2022-05-26
CUST0383,2020-12-29
CUST0384,2024-07-04
CUST0385,2022-09-02
CUST0386,2024-11-14
CUST0387,2022-04-05
CUST0388,2022-12-05
CUST0389,2020-10-12
CUST0390,2022-06-09
CUST0391,2022-01-07
CUST0392,2024-11-13
CUST0393,2024-07-17
CUST0394,2024-06-28
CUST0395,2022-12-14
CUST0396,2023-07-03
CUST0397,2021-07-30
CUST0398,2023-03-13
CUST0399,2020-04-30
CUST0400,2022-02-09
CUST0401,2024-04-24
CUST0402,2024-05-28
CUST0403,2020-10-18
CUST0404,2024-06-30
CUST0405,2024-06-04
CUST0406,2024-10-21
CUST0407,2021-08-03
CUST0408,2022-03-03
CUST0409,2024-08-16
CUST0410,2021-01-29
CUST0411,2023-02-21
CUST0412,2022-12-27
CUST0413,2023-05-20
CUST0414,2023-07-20
CUST0415,2020-11-01
CUST0416,2020-12-05
CUST0417,2020-10-13
CUST0418,2020-06-27
CUST0419,2024-12-11
CUST0420,2022-01-27
CUST0421,2020-12-06
CUST0422,2022-11-18
CUST0423,2022-07-06
CUST0424,2023-10-21
CUST0425,2022-12-07
CUST0426,2023-06-21
CUST0427,2024-05-12
CUST0428,2023-08-16
CUST0429,2022-06-20
CUST0430,2020-02-11
CUST0431,2024-01-13
CUST0432,2022-03-29
CUST0433,2023-02-03
CUST0434,2021-07-02
CUST0435,2020-01-15
CUST0436,2023-07-05
CUST0437,2023-11-24
CUST0438,2021-10-06
CUST0439,2021-01-08
CUST0440,2021-08-03
CUST0441,2021-06-17
CUST0442,2022-12-09
CUST0443,2020-11-19
CUST0444,2022-05-18
CUST0445,2021-08-29
CUST0446,2024-10-07
CUST0447,2022-08-07
CUST0448,2020-05-05
CUST0449,2020-11-07
CUST0450,2021-12-07
CUST0451,2024-08-30
CUST0452,2024-12-26
CUST0453,2023-09-21
CUST0454,2020-08-18
CUST0455,2021-04-27
CUST0456,2023-07-02
CUST0457,2021-05-23
CUST0458,2020-11-09
CUST0459,2024-08-13
CUST0460,2024-08-24
CUST0461,2020-05-25
CUST0462,2024-01-02
CUST0463,2020-01-18
CUST0464,2022-08-09
CUST0465,2023-10-26
CUST0466,2021-04-20
CUST0467,2021-08-18
CUST0468,2021-04-27
CUST0469,2024-01-16
CUST0470,2024-03-15
CUST0471,2020-04-02
CUST0472,2024-04-17
CUST0473,2023-06-18
CUST0474,2020-08-15
CUST0475,2023-01-18
CUST0476,2021-09-01
CUST0477,2023-02-27
CUST0478,2021-10-26
CUST0479,2020-08-09
CUST0480,2024-12-24
CUST0481,2022-12-07
CUST0482,2023-09-15
CUST0483,2024-12-02
CUST0484,2020-02-27
CUST0485,2020-11-03
CUST0486,2022-01-25
CUST0487,2022-10-26
CUST0488,2022-01-16
CUST0489,2022-04-13
CUST0490,2022-12-14
CUST0491,2024-07-15
CUST0492,2023-01-25
CUST0493,2022-04-16
CUST0494,2023-10-30
CUST0495,2023-05-26
CUST0496,2024-03-29
CUST0497,2021-11-09
CUST0498,2024-05-25
CUST0499,2021-02-15
CUST0500,2022-09-16
CUST0501,2021-06-20
CUST0502,2022-06-02
CUST0503,2023-03-21
CUST0504,2023-05-26
CUST0505,2023-11-09
CUST0506,2020-02-22
CUST0507,2024-10-02
CUST0508,2020-10-22
CUST0509,2021-03-10
CUST0510,2022-03-06
CUST0511,2024-01-01
CUST0512,2022-12-25
CUST0513,2021-10-07
CUST0514,2024-12-15
CUST0515,2021-09-09
CUST0516,2023-01-23
CUST0517,2023-10-08
CUST0518,2024-08-12
CUST0519,2020-01-13
CUST0520,2021-04-01
CUST0521,2023-07-10
CUST0522,2020-07-28
CUST0523,2024-08-18
CUST0524,2022-07-23
CUST0525,2022-08-18
CUST0526,2021-08-03
CUST0527,2024-07-04
CUST0528,2024-04-02
CUST0529,2022-04-17
CUST0530,2024-05-11
CUST0531,2022-08-02
CUST0532,2021-09-05
CUST0533,2024-08-17
CUST0534,2024-10-25
CUST0535,2020-06-23
CUST0536,2022-06-15
CUST0537,2021-11-07
CUST0538,2022-08-05
CUST0539,2021-01-09
CUST0540,2023-11-12
CUST0541,2020-10-21
CUST0542,2023-06-12
CUST0543,2024-05-05
CUST0544,2020-07-03
CUST0545,2024-12-24
CUST0546,2024-08-12
CUST0547,2023-10-19
CUST0548,2021-04-03
CUST0549,2023-03-25
CUST0550,2022-11-07
CUST0551,2023-01-20
CUST0552,2023-03-07
CUST0553,2022-01-10
CUST0554,2021-12-11
CUST0555,2023-06-28
CUST0556,2023-03-08
CUST0557,2020-09-23
CUST0558,2020-03-27
CUST0559,2021-01-31
CUST0560,2022-03-01
CUST0561,2023-08-30
CUST0562,2023-02-08
CUST0563,2024-02-22
CUST0564,2023-09-12
CUST0565,2022-05-01
CUST0566,2021-02-24
CUST0567,2023-04-11
CUST0568,2024-11-25
CUST0569,2020-02-05
CUST0570,2020-12-09
CUST0571,2022-02-18
CUST0572,2020-10-29
CUST0573,2020-05-03
CUST0574,2020-07-09
CUST0575,2022-07-15
CUST0576,2021-01-07
CUST0577,2022-10-26
CUST0578,2020-12-21
CUST0579,2024-10-20
CUST0580,2023-12-23
CUST0581,2022-02-13
CUST0582,2022-09-22
CUST0583,2022-04-05
CUST0584,2020-08-14
CUST0585,2020-07-22
CUST0586,2024-06-01
CUST0587,2023-07-20
CUST0588,2024-08-16
CUST0589,2021-08-09
CUST0590,2023-11-11
CUST0591,2023-06-10
CUST0592,2022-11-15
CUST0593,2023-07-01
CUST0594,2020-03-21
CUST0595,2024-11-05
CUST0596,2022-01-30
CUST0597,2020-12-20
CUST0598,2021-05-03
CUST0599,2023-11-21
CUST0600,2023-03-15
CUST0601,2020-10-10
CUST0602,2022-04-07
CUST0603,2020-10-27
CUST0604,2023-05-19
CUST0605,2023-06-04
CUST0606,2023-11-01
CUST0607,2021-09-26
CUST0608,2021-07-31
CUST0609,2020-12-28
CUST0610,2024-07-30
CUST0611,2022-04-14
CUST0612,2020-08-11
CUST0613,2020-07-25
CUST0614,2021-12-19
CUST0615,2023-11-29
CUST0616,2023-08-24
CUST0617,2020-04-06
CUST0618,2020-12-03
CUST0619,2021-07-14
CUST0620,2021-08-10
CUST0621,2020-06-01
CUST0622,2023-05-31
CUST0623,2020-06-12
CUST0624,2021-06-29
CUST0625,2024-10-05
CUST0626,2021-01-30
CUST0627,2023-03-11
CUST0628,2022-06-15
CUST0629,2021-01-02
CUST0630,2023-05-24
CUST0631,2023-10-13
CUST0632,2024-08-02
CUST0633,2021-04-03
CUST0634,2021-01-26
CUST0635,2023-11-06
CUST0636,2022-05-23
CUST0637,2021-06-27
CUST0638,2020-12-23
CUST0639,2020-08-19
CUST0640,2021-08-31
CUST0641,2020-09-18
CUST0642,2024-12-26
CUST0643,2021-11-07
CUST0644,2022-10-05
CUST0645,2024-05-24
CUST0646,2023-08-08
CUST0647,2020-04-20
CUST0648,2020-09-25
CUST0649,2023-05-26
CUST0650,2021-11-01
CUST0651,2021-03-09
CUST0652,2023-08-03
CUST0653,2023-07-21
CUST0654,2022-01-20
CUST0655,2020-06-14
CUST0656,2023-08-12
CUST0657,2022-09-20
CUST0658,2022-03-26
CUST0659,2020-06-29
CUST0660,2023-11-30
CUST0661,2020-01-22
CUST0662,2024-07-12
CUST0663,2024-01-30
CUST0664,2022-09-27
CUST0665,2022-08-28
CUST0666,2021-08-26
CUST0667,2024-06-29
CUST0668,2023-11-14
CUST0669,2022-08-11
CUST0670,2022-07-30
CUST0671,2022-11-16
CUST0672,2024-11-24
CUST0673,2020-06-29
CUST0674,2024-03-26
CUST0675,2023-08-02
CUST0676,2021-08-27
CUST0677,2021-07-03
CUST0678,2020-09-15
CUST0679,2020-04-06
CUST0680,2022-11-06
CUST0681,2020-08-13
CUST0682,2023-08-09
CUST0683,2022-03-16
CUST0684,2021-11-30
CUST0685,2021-05-30
CUST0686,2020-07-30
CUST0687,2024-04-25
CUST0688,2022-05-01
CUST0689,2021-02-07
CUST0690,2020-05-24
CUST0691,2022-04-17
CUST0692,2024-09-09
CUST0693,2024-03-28
CUST0694,2020-10-13
CUST0695,2020-10-23
CUST0696,2022-11-06
CUST0697,2020-09-03
CUST0698,2022-01-26
CUST0699,2022-04-14
CUST0700,2020-05-20
CUST0701,2020-08-26
CUST0702,2023-08-23
CUST0703,2022-03-26
CUST0704,2022-09-01
CUST0705,2021-03-11
CUST0706,2022-02-21
CUST0707,2024-08-06
CUST0708,2022-02-08
CUST0709,2024-10-05
CUST0710,2024-02-09
CUST0711,2024-10-14
CUST0712,2020-05-31
CUST0713,2023-12-29
CUST0714,2021-10-23
CUST0715,2021-04-24
CUST0716,2024-02-02
CUST0717,2024-02-09
CUST0718,2022-11-29
CUST0719,2022-02-24
CUST0720,2021-06-28
CUST0721,2021-06-26
CUST0722,2024-12-28
CUST0723,2022-06-14
CUST0724,2024-12-10
CUST0725,2020-11-05
CUST0726,2024-03-06
CUST0727,2021-05-08
CUST0728,2022-04-06
CUST0729,2024-04-28
CUST0730,2024-12-19
CUST0731,2021-10-04
CUST0732,2024-12-20
CUST0733,2021-10-13
CUST0734,2020-11-24
CUST0735,2024-01-14
CUST0736,2024-12-25
CUST0737,2024-09-22
CUST0738,2024-04-15
CUST0739,2020-10-14
CUST0740,2024-08-14
CUST0741,2021-03-27
CUST0742,2020-01-05
CUST0743,2020-05-11
CUST0744,2023-12-18
CUST0745,2024-11-23
CUST0746,2020-08-17
CUST0747,2020-04-27
CUST0748,2024-06-01
CUST0749,2020-03-01
CUST0750,2021-11-05
CUST0751,2023-03-28
CUST0752,2023-03-16
CUST0753,2024-12-26
CUST0754,2021-07-11
CUST0755,2024-06-29
CUST0756,2021-01-23
CUST0757,2022-04-22
CUST0758,2023-11-17
CUST0759,2020-02-11
CUST0760,2020-02-12
CUST0761,2024-05-06
CUST0762,2022-10-11
CUST0763,2023-02-24
CUST0764,2020-02-29
CUST0765,2021-11-09
CUST0766,2021-10-17
CUST0767,2020-02-06
CUST0768,2020-04-19
CUST0769,2021-10-29
CUST0770,2023-03-30
CUST0771,2024-12-05
CUST0772,2022-12-05
CUST0773,2021-09-30
CUST0774,2024-02-03
CUST0775,2020-12-02
CUST0776,2024-11-07
CUST0777,2023-12-26
CUST0778,2023-05-03
CUST0779,2023-12-26
CUST0780,2023-10-30
CUST0781,2022-06-03
CUST0782,2022-03-29
CUST0783,2020-09-26
CUST0784,2024-09-06
CUST0785,2022-04-29
CUST0786,2022-01-17
CUST0787,2021-06-10
CUST0788,2023-04-03
CUST0789,2022-05-11
CUST0790,2024-10-26
CUST0791,2022-10-27
CUST0792,2022-03-23
CUST0793,2021-01-11
CUST0794,2021-05-15
CUST0795,2020-07-01
CUST0796,2024-11-11
CUST0797,2024-12-04
CUST0798,2020-10-04
CUST0799,2024-03-15
CUST0800,2021-05-02
CUST0801,2022-08-17
CUST0802,2020-03-12
CUST0803,2021-07-15
CUST0804,2024-12-28
CUST0805,2024-01-26
CUST0806,2020-05-26
CUST0807,2024-01-18
CUST0808,2023-11-07
CUST0809,2023-12-26
CUST0810,2024-02-29
CUST0811,2024-02-29
CUST0812,2023-11-01
CUST0813,2021-04-28
CUST0814,2020-03-16
CUST0815,2020-03-03
CUST0816,2023-06-04
CUST0817,2021-08-25
CUST0818,2022-11-13
CUST0819,2023-08-31
CUST0820,2024-03-15
CUST0821,2021-07-04
CUST0822,2023-10-09
CUST0823,2021-01-27
CUST0824,2024-08-25
CUST0825,2021-06-25
CUST0826,2021-01-14
CUST0827,2020-05-30
CUST0828,2024-07-08
CUST0829,2021-03-15
CUST0830,2020-08-05
CUST0831,2023-10-27
CUST0832,2023-01-08
CUST0833,2020-08-20
CUST0834,2024-07-02
CUST0835,2024-03-28
CUST0836,2024-03-20
CUST0837,2021-02-27
CUST0838,2024-01-09
CUST0839,2021-11-29
CUST0840,2021-03-25
CUST0841,2024-07-17
CUST0842,2023-02-13
CUST0843,2020-09-04
CUST0844,2022-11-16
CUST0845,2023-10-11
CUST0846,2022-11-20
CUST0847,2024-04-03
CUST0848,2022-03-05
CUST0849,2021-07-14
CUST0850,2024-03-13
CUST0851,2020-07-29
CUST0852,2022-10-20
CUST0853,2024-08-17
CUST0854,2022-12-31
CUST0855,2020-06-13
CUST0856,2021-02-16
CUST0857,2022-07-03
CUST0858,2024-01-20
CUST0859,2022-01-18
CUST0860,2021-05-09
CUST0861,2022-03-05
CUST0862,2024-02-07
CUST0863,2023-09-05
CUST0864,2020-01-08
CUST0865,2024-10-18
CUST0866,2024-10-28
CUST0867,2020-08-31
CUST0868,2023-02-11
CUST0869,2020-08-19
CUST0870,2023-02-19
CUST0871,2020-10-18
CUST0872,2020-11-28
CUST0873,2020-08-09
CUST0874,2022-12-26
CUST0875,2023-05-17
CUST0876,2021-05-16
CUST0877,2023-05-02
CUST0878,2023-10-20
CUST0879,2024-04-03
CUST0880,2023-01-31
CUST0881,2020-09-24
CUST0882,2024-05-01
CUST0883,2023-02-07
CUST0884,2023-05-31
CUST0885,2020-05-29
CUST0886,2023-10-12
CUST0887,2022-09-23
CUST0888,2021-04-20
CUST0889,2020-04-22
CUST0890,2020-11-01
CUST0891,2024-11-20
CUST0892,2021-07-03
CUST0893,2023-03-01
CUST0894,2022-01-02
CUST0895,2020-06-04
CUST0896,2021-03-04
CUST0897,2021-06-05
CUST0898,2020-02-23
CUST0899,2021-03-07
CUST0900,2022-04-27
CUST0901,2022-12-07
CUST0902,2021-03-02
CUST0903,2021-01-25
CUST0904,2023-12-20
CUST0905,2022-11-10
CUST0906,2024-09-11
CUST0907,2024-06-09
CUST0908,2024-10-20
CUST0909,2021-03-17
CUST0910,2022-10-11
CUST0911,2024-05-21
CUST0912,2022-05-18
CUST0913,2021-05-10
CUST0914,2024-08-26
CUST0915,2024-08-01
CUST0916,2021-08-24
CUST0917,2020-02-09
CUST0918,2023-12-06
CUST0919,2020-03-05
CUST0920,2021-01-30
CUST0921,2020-02-05
CUST0922,2022-07-23
CUST0923,2020-02-26
CUST0924,2023-12-14
CUST0925,2023-03-02
CUST0926,2022-09-28
CUST0927,2020-06-24
CUST0928,2024-07-06
CUST0929,2020-06-08
CUST0930,2023-10-01
CUST0931,2024-08-23
CUST0932,2023-06-25
CUST0933,2024-09-11
CUST0934,2021-07-03
CUST0935,2021-08-31
CUST0936,2024-11-25
CUST0937,2022-08-11
CUST0938,2022-08-15
CUST0939,2020-12-17
CUST0940,2020-02-02
CUST0941,2024-02-10
CUST0942,2023-06-02
CUST0943,2023-03-25
CUST0944,2022-01-20
CUST0945,2024-09-24
CUST0946,2023-07-21
CUST0947,2024-04-05
CUST0948,2024-12-27
CUST0949,2022-06-03
CUST0950,2021-05-23
CUST0951,2023-05-08
CUST0952,2024-04-16
CUST0953,2024-06-29
CUST0954,2020-09-25
CUST0955,2021-10-06
CUST0956,2021-09-17
CUST0957,2022-08-24
CUST0958,2024-02-05
CUST0959,2024-10-04
CUST0960,2020-06-15
CUST0961,2024-08-03
CUST0962,2021-09-17
CUST0963,2020-06-07
CUST0964,2023-04-10
CUST0965,2020-02-23
CUST0966,2023-09-01
CUST0967,2024-09-16
CUST0968,2020-10-15
CUST0969,2023-03-23
CUST0970,2023-09-26
CUST0971,2023-10-13
CUST0972,2020-08-09
CUST0973,2020-12-30
CUST0974,2022-11-07
CUST0975,2024-05-06
CUST0976,2020-03-19
CUST0977,2020-04-03
CUST0978,2020-08-08
CUST0979,2024-08-27
CUST0980,2022-04-15
CUST0981,2022-09-01
CUST0982,2021-12-11
CUST0983,2020-08-27
CUST0984,2022-02-02
CUST0985,2022-07-16
CUST0986,2023-07-22
CUST0987,2022-03-19
CUST0988,2022-03-11
CUST0989,2023-03-30
CUST0990,2022-05-31
CUST0991,2024-04-09
CUST0992,2021-12-07
CUST0993,2023-02-15
CUST0994,2020-05-07
CUST0995,2024-12-16
CUST0996,2022-02-16
CUST0997,2022-10-19
CUST0998,2022-08-17
CUST0999,2020-08-17
